Товар,Отзыв
"Смартфон A","Очень доволен покупкой, всё работает отлично!"
"Смартфон B","Камера плохая, батарея быстро садится."
"Ноутбук C","Мощный, тихий, быстро загружается, рекомендую."
"Наушники D","Звук слабый, неудобная посадка, разочарован."
"Планшет E","Отличный экран и быстрое подключение к Wi-Fi."
"Телевизор F","Плохая цветопередача и тормозит меню."
"Пылесос G","Легкий, мощный, хорошо убирает, нравится."
"Кофемашина H","Сложное управление и быстро ломается."
"Часы I","Красивый дизайн, точный ход, лёгкие."
"Монитор J","Яркий, качественный экран, но иногда мерцает."
"Телефон K","Нормальный телефон за такую цену, но экран тусклый."
"Планшет L","Отличная производительность и экран, но камера слабая."
"Ноутбук M","Слишком тяжёлый для переноски, но мощный."
"Наушники N","Очень громкие, но плохо сидят в ушах."
"Микроволновка O","Очень удобно пользоваться, хорошая мощность."
"Миксер P","Мощный и удобный, но шумный."
"Смартфон Q","Долго держит заряд, но дизайн не нравится."
"Кофемашина R","Слишком сложная настройка и обслуживание."
"Телевизор S","Отличное изображение, но звук слабый."
"Пылесос T","Не хватает мощности для глубокой уборки."
"Часы U","Точные, но экран слишком маленький."
"Смартфон V","Плохо работает с интернетом, часто теряет сигнал."
"Планшет W","Очень нравится скорость работы, но батарея быстро садится."
"Ноутбук X","Отлично справляется с тяжёлыми программами, но весит много."
"Монитор Y","Прекрасная картинка, но плохо работает в ярком свете."
"Наушники Z","Очень комфортные, но звук средний."
"Кофемашина AA","Очень хорошая, но слишком дорогая."
"Пылесос AB","Убирает хорошо, но шумит сильно."
"Телевизор AC","Удобное меню, но не хватает смарт-функций."
"Часы AD","Красивый дизайн, но кнопки неудобные."
"Смартфон AE","Неудачное расположение кнопок."
"Планшет AF","Хорошая производительность, но плохо работает Wi-Fi."
"Ноутбук AG","Производительный, но очень громкий вентилятор."
"Кофемашина AH","Отличное качество кофе, но слишком большая."
"Телевизор AI","Качество изображения отличное, но нет поддержки HDR."
"Пылесос AJ","Маленький, но слишком слабый."
"Часы AK","Красивый дизайн, но неудобны для длинных носок."
"Смартфон AL","Быстрый, но не хватает памяти."
